State,Max Height (ft),Notes,Source,Quote,pg #,Conflicts/Comments
Alabama,13 1/2,,[http://dot.state.al.us](https://www.dot.state.al.us/maweb/doc/title32chapter9.pdf),"No vehicle or semi-trailer or trailer shall exceed in height 13 ½ feet, including load.",3,
Alaska,14,WASHTO,[http://wsdot.wa.gov](http://www.wsdot.wa.gov/nr/rdonlyres/ef9bd746-33dc-4a7f-a7fa-744897188d64/0/washtoguide2009.pdf) ),Height :Maximum vehicle height: 14 feet.,15,"PAGE 5: A vehicle, including load, may not exceed a height of 15feet, except that avehicle operating between the Fox Weigh Station and Prudhoe Bay on the Daltonand Elliott Highways may have a height, including load, of 17 feet."
Arizona,14,WASHTO,[http://wsdot.wa.gov](http://www.wsdot.wa.gov/nr/rdonlyres/ef9bd746-33dc-4a7f-a7fa-744897188d64/0/washtoguide2009.pdf) ),Height :Maximum vehicle height: 14 feet.,15,
Arkansas,13 feet 6 inches,,"HYPERLINK(“http://www.sos.arkansas.gov/rulesRegs/Arkansas%20Register/2014/nov2014/001.00.14-001.pdf“,”http://sos.arkansas.gov“=","HEIGHT: 13 feet, 6 inches",8,"PAGE 8: WIDTH: 8 feet,  6 inches (8 feet for manufactured homes)"
California,14,WASHTO,[http://wsdot.wa.gov](http://www.wsdot.wa.gov/nr/rdonlyres/ef9bd746-33dc-4a7f-a7fa-744897188d64/0/washtoguide2009.pdf) ),Height :Maximum vehicle height: 14 feet.,15,
Colorado,14,WASHTO,[http://wsdot.wa.gov](http://www.wsdot.wa.gov/nr/rdonlyres/ef9bd746-33dc-4a7f-a7fa-744897188d64/0/washtoguide2009.pdf) ),Height :Maximum vehicle height: 14 feet.,15,
Connecticut,13 feet 6 inches,,"HYPERLINK(“http://www.ct.gov/dot/lib/dot/Documents/dpermits/eh_ndlgi.pdf“, “http://www.ct.gov/”)",Height - 13 feet 6 inches ,4,"The liability for damage to any person, vehicle, structure or other property caused by any vehicle having a height,including any load thereon, in excess of 12 feet 6 inches shall be borne by the owner and/or the operator of the vehicle."
Delaware,,,,,,
District of Columbia,,,,,,
Florida,,,,,,
