State             Max Height (fNotes    Source                  Quote               pg numb Conflicts/Comments          
Alabama           13 1/2       -        https://www.dot.state.al"No vehicle or semi-       3-                           
Alaska            14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15PAGE 5: "A vehicle, includin
Arizona           14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Arkansas          13 feet 6 inc-        http://www.sos.arkansas."HEIGHT: 13 feet (co       8PAGE 8: "WIDTH: 8 feet, 6 in
California        14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Colorado          14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Connecticut       13 feet 6 inc-        http://www.ct.gov/dot/li"Height - 13 feet 6        4"The liability for damage to
Delaware          -            -        -                       -                   -       -                           
District of Columb-            -        -                       -                   -       -                           
Florida           -            -        -                       -                   -       -                           
Georgia           -            -        -                       -                   -       -                           
Hawaii            14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Idaho             14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Illinois          -            -        -                       -                   -       -                           
Indiana           -            -        -                       -                   -       -                           
Iowa              -            -        -                       -                   -       -                           
Kansas            -            -        -                       -                   -       -                           
Kentucky          -            -        -                       -                   -       -                           
Louisiana         -            -        -                       -                   -       -                           
Maine             -            -        -                       -                   -       -                           
Maryland          -            -        -                       -                   -       -                           
Massachusetts     -            -        -                       -                   -       -                           
Michigan          -            -        -                       -                   -       -                           
Minnesota         -            -        -                       -                   -       -                           
Mississippi       -            -        -                       -                   -       -                           
Missouri          -            -        -                       -                   -       -                           
Montana           14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Nebraska          14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Nevada            14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
New Hampshire     -            -        -                       -                   -       -                           
New Jersey        -            -        -                       -                   -       -                           
New Mexico        14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
New York          -            -        -                       -                   -       -                           
North Carolina    -            -        -                       -                   -       -                           
North Dakota      14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Ohio              -            -        -                       -                   -       -                           
Oklahoma          14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Oregon            14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Pennsylvania      -            -        -                       -                   -       -                           
Puerto Rico       -            -        -                       -                   -       -                           
Rhode Island      -            -        -                       -                   -       -                           
South Carolina    -            -        -                       -                   -       -                           
South Dakota      14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Tennessee         -            -        -                       -                   -       -                           
Texas             14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Utah              14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
Vermont           -            -        -                       -                   -       -                           
Virginia          -            -        -                       -                   -       -                           
Washington        14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
West Virginia     -            -        -                       -                   -       -                           
Wisconsin         -            -        -                       -                   -       -                           
Wyoming           14           WASHTO   http://www.wsdot.wa.gov/"Height :Maximum veh      15-                           
